Date of Post,Headline
"September 28, 2023","2 men killed, three wounded in Northeast D.C."
"September 27, 2023",Montgomery to pay $9.7 million to settle Damascus sex assault claims
"September 27, 2023","Student, bystander killed in shootings as D.C. homicide total grows"
"September 26, 2023",D.C. surpasses 200 homicides for the year at earliest point since 1997
"September 26, 2023",Police say they thwarted a planned shooting at a Virginia church
"September 26, 2023","Teen, 16, fatally shot in Southeast Washington, police say"
"September 26, 2023",Man arrested after dead woman found in tractor-trailer at Costco depot
"September 25, 2023","Truck driver who fatally struck diplomat on bike in Maryland fined $2,000"
"September 25, 2023",D.C. police cite ‘lax security’ in closing lounge after shooting
"September 25, 2023",Authorities investigate molotov cocktails targeting Cuban embassy
"September 25, 2023","Man charged with murder in Forestville-area shooting, police say"
"September 24, 2023","Former college basketball standout killed, three wounded in D.C. shooting"
"September 24, 2023",Va. woman gets 78-year sentence in fatal shooting of her two daughters
"September 23, 2023",Man found fatally shot in Southeast D.C.
"September 23, 2023",Mom of victim killed in Beltway hit-and-run pleads for driver to come forward
"September 22, 2023","Va. woman convicted for second time in killings of her mother, sister"
"September 22, 2023",Three men plead guilty in Virginia gun trafficking case
"September 22, 2023","Man charged with arson accused of torching stores, side of police station"
"September 21, 2023",Police arrest D.C. man in fatal shooting in the city last month
"September 21, 2023","Two shot, one fatally, as D.C. homicide toll continues to worsen"
"September 21, 2023","Woman arrested in April shooting in Prince George’s County, police say"
"September 21, 2023",Judge declines to revoke bond for mother of boy who shot Va. teacher
"September 20, 2023",Family of Irvo Otieno settles suit over his death at Va. mental hospital
"September 20, 2023","Teen found with loaded gun at Fairmont Heights High School, police say"
"September 20, 2023","Two fatally shot in Prince George’s, police say"
"September 19, 2023","‘Ari, don’t die’: Shooting of 10-year-old D.C. girl described in court"
"September 19, 2023","52-year-old man dies from fatal injuries after car theft, police say"
"September 19, 2023",A pastor vanished. His family’s search helped lead to his alleged killer.
"September 18, 2023",Kayaker dies in the Potomac River
"September 18, 2023","43-year-old man fatally shot in Woodbridge, police say"
"September 18, 2023","Man fatally shot Sunday in Northeast Washington, police say"
"September 17, 2023",Teen goes on trial in fatal 2022 shooting at ‘Moechella’ event
"September 16, 2023",Police balked at giving Michael Fanone his badge back. Then a reporter called.
"September 15, 2023",Man sentenced in truck bomb threat that forced Capitol Hill evacuations
"September 15, 2023",Sixteen-year sentence for Navy sailor who fatally stabbed man in D.C.
"September 15, 2023",Man gets 35-year term for 2010 killing of still-missing D.C. woman
"September 15, 2023",17-year-old arrested in killing of Duval High student Jayda Medrano Moore
"September 15, 2023","Temple Hills shooting victim dies of injuries, Prince George’s police say"
"September 14, 2023",D.C. police arrest man in connection with two fatal shootings
"September 14, 2023",Ex-Pentagon police officer David Dixon pleads guilty to murder counts
"September 14, 2023","28-year-old fatally shot in Bladensburg area, police say"
"September 14, 2023",Md. judiciary chairman: Youth violence is ‘a failing ... of all of us’
"September 13, 2023","Man charged in Md. missing-teacher case has violent history, prosecutors say"
"September 13, 2023",Police say naked intruder found in Virginia home dies at hospital
"September 12, 2023",DuVal High to install weapons detectors days after fatal shooting
"September 12, 2023","A month after turning 17, he was killed on his way to work"
"September 12, 2023","Two teens charged with murder in Pr. George’s, police say"
"September 12, 2023",Maryland woman who left wounded boyfriend at hospital charged with murder
"September 12, 2023","Data in hand, Md. juvenile services chief says youth crime is down"
"September 12, 2023","Teenager is slain by masked attackers in Northeast D.C., police say"
"September 11, 2023",Girl is fatally shot near DuVal High School in Pr. George’s
"September 11, 2023","Decades later, police have suspect in Va. woman’s brutal stabbing death"
"September 11, 2023","22-year-old killed in Clinton shooting, Prince George’s police say"
"September 11, 2023",A shaken Washington copes with surging violence: ‘This is not normal’
"September 10, 2023","Woman, 21, killed in Northeast D.C. shooting, police say"
"September 9, 2023",Maryland prosecutor and judge he hired may be forced to testify
"September 9, 2023","D.C. postal worker stole $1.7M in checks, prosecutors allege"
"September 9, 2023","Man dies two days after shooting, D.C. police say"
"September 8, 2023","Man slain in Prince George’s, police say"
"September 8, 2023","40% of D.C. 911 center shifts understaffed last month, data shows"
"September 8, 2023",D.C. police charge one man with murder and another with killing a witness
"September 8, 2023",Five teens arrested following post-football game brawl in Bethesda
"September 8, 2023",Charges upgraded against suspect in shooting of U-Va. football players
"September 8, 2023","Bomb threat over at Arlington Cemetery, but it will stay closed to visitors"
"September 8, 2023",Man charged with stabbing Rand Paul staffer to be moved to mental facility
"September 8, 2023","Man fatally shot in Brentwood, police say"
"September 8, 2023",Stabbing suspect fatally struck by vehicle on Route 50 in Virginia
"September 7, 2023","Police didn’t fully secure murder suspect who fled D.C. hospital, chief says"
"September 7, 2023","Victim says robbery attempt preceded shooting that killed 1, wounded 4"
"September 7, 2023","Driver hits several police cars in chase from Va. to D.C., authorities say"
"September 7, 2023",Police arrest suspect in fatal shooting at Adams Morgan soccer field
"September 6, 2023",D.C. police search for murder suspect who escaped custody at GWU Hospital
"September 6, 2023",D.C. police arrest 3 men in fatal Waterfront-area shooting
"September 6, 2023",Prosecutors ask to revoke bond for mom of 6-year-old who shot teacher
"September 6, 2023","19-year-old killed in Temple Hills shooting, police say"
"September 6, 2023","One dead, two injured in ‘domestic-related’ shooting in Montgomery County"
"September 5, 2023","Five shot, one fatally, near waterfront in Southwest Washington"
"September 5, 2023",Tow truck hauls away SUV near Va. mall with toddlers still inside
"September 5, 2023",97 D.C. neighborhood leaders urge change in city response to 911 calls
"September 5, 2023",Prince George’s officer suspended after viral video
"September 4, 2023",Killing in Southeast is city’s seventh homicide since Friday
"September 4, 2023","Man stabbed in D.C. in August has died, police say"
"September 4, 2023",Officials urge caution after e-bike battery sparks D.C. house fire
"September 4, 2023",Md. man found fatally wounded in Northeast
"September 4, 2023",D.C. man arrested in Metro stabbing
"September 3, 2023",Police: Man dies after being shot multiple times by roommate in Va.
"September 3, 2023",Man shot to death near Dulles Town Center in Sterling
"September 3, 2023",Teen arrested in Mount Vernon-area slaying
"September 3, 2023","A murder case derailed his redemption story. Years later, it was dropped."
"September 2, 2023","At least 11 shot, five killed in D.C. shootings"
"September 2, 2023","Girl, 16, killed in fight over McDonald’s sauce on U Street had dreams"
"September 2, 2023",Slain Maryland teacher was ‘a student favorite’
"September 2, 2023",Missing Greenbelt teacher found slain; Maryland man charged with her murder
"September 2, 2023","Man is fatally shot in the District, police say"
"September 2, 2023",Man is slain in Fairfax County
"September 1, 2023",Father charged with murder in killing of wife and son after barricade
"September 1, 2023","Man stabbed and wounded on Green Line Metro train, authorities say"
"September 1, 2023","D.C. man charged with murder, though police say he didn’t fire fatal shot"
"September 1, 2023","Signaling new posture, prosecutors charge teen as adult in D.C. robberies"
"September 1, 2023",Prince George’s police investigate Hyattsville homicide
"September 1, 2023",Md. sheriff charged in machine gun conspiracy case returns to work
"September 1, 2023","A man’s gun case was dismissed. Days later, he was charged with murder."
"August 31, 2023",Two people killed and a third wounded in Md. barricade situation
"August 31, 2023",Owners of pets killed in flood at doggy day care grill D.C. mayor
"August 31, 2023","Driver’s ‘aggressive maneuver’ causes fatal crash in Va., police say"
"August 31, 2023","Two more teens arrested in Baltimore block party shooting, police say"
"August 31, 2023","Man fatally shot in Southeast Washington, police say"
"August 30, 2023",Teen girl from D.C. arrested in Capitol Hill carjacking attempt
"August 30, 2023","Ex-cardinal McCarrick’s sex abuse case is dismissed, without a ‘reckoning’"
"August 30, 2023","Baltimore police showed ‘indifference’ ahead of shooting, report says"
"August 30, 2023",D.C.-based crew charged with robbing jewelry stores along East Coast
"August 30, 2023",Student found with part of a ghost gun at Montgomery Blair High School
"August 30, 2023","Witness intervenes in Capitol Hill carjacking attempt, police say"
"August 29, 2023","Bomb threat is over at National Zoo, but park will stay closed for day"
"August 28, 2023","Charged with trespassing at airport, she died in custody 2 weeks later"
"August 28, 2023","Teen killed outside McDonald’s in sweet-and-sour sauce dispute, police say"
"August 28, 2023",Police investigate slaying in Oxon Hill area
"August 28, 2023","Man charged with murder after fatal crash with train in Va., police say"
"August 28, 2023","Man arrested in Laurel area shooting, police say"
"August 28, 2023","Woman fatally shot in Prince George’s, man wounded, police say"
"August 27, 2023","Woman, 73, dies after Arlington jail incident"
"August 27, 2023",D.C. police arrest teen in string of carjackings and robberies
"August 27, 2023","3 teens slain this weekend in D.C. in separate incidents, police say"
"August 26, 2023","Man is fatally shot in Southeast Washington, D.C. police say"
"August 25, 2023",Dentist James Ryan found guilty of murder in anesthesia overdose death
"August 25, 2023",Three-year prison term for ex-D.C. lieutenant who fatally shot library officer
"August 25, 2023",D.C. has long struggled with 911 calls. Then 10 dogs died in a flood.
"August 25, 2023",DNA found with woman’s body off Md. trail matches suspect in LA crime
"August 25, 2023",Authorities identify D.C. police officer who shot man in Northwest
"August 25, 2023","Man fatally shot in Northwest Washington, D.C. police say"
"August 24, 2023","Robbery suspect had three parrots sitting on him, police say"
"August 24, 2023",D.C. police investigate possible murder-suicide in Southwest Washington
"August 23, 2023",Police charge Va. man they say shot at car on I-66 in ‘road rage’ incident
"August 23, 2023","D.C. youths, 50 miles from home on Bikeshare bikes, charged in burglary attempt"
"August 22, 2023","Person shot at moving car on I-66 in Virginia, police say"
"August 22, 2023",Va. man pleads guilty to killing his landlord and hiding her remains
"August 22, 2023",Man and woman found dead in Fairfax County home
"August 22, 2023",Maryland man fatally shot in Southeast Washington
"August 22, 2023","12-year-old arrested in D.C. carjacking attempt, police say"
"August 21, 2023",Md. police shoot man who they said lunged at them with knife
"August 21, 2023",Man jailed on murder charge in D.C. accused of killing behind bars
"August 21, 2023",Teens arrested after golf cart is taken at gunpoint at Va. country club
"August 21, 2023","Off-duty Fairfax officer arrested for DUI after crash, police say"
"August 20, 2023",From beauty queen to fatal overdose in Maryland dentist’s murder trial
"August 20, 2023",3 men die Saturday following violent incidents over past week
"August 19, 2023","Smoke causes evacuation of Dulles terminal, official says"
"August 19, 2023",FBI looks for Proud Boy after the Jan. 6 convict missed his sentencing
"August 19, 2023","Homicides are falling in many big cities. In D.C., they’re rising."
"August 17, 2023","D.C. police officer shoots, critically wounds armed man in Northwest"
"August 17, 2023",D.C. offers scant details about 911 calls reporting District Dogs flood
"August 17, 2023",Howard U. aims to reassure students after violence on and near campus
"August 17, 2023",D.C. officials say they will enforce youth curfew in certain areas
"August 17, 2023",Woman sentenced to 22 years for trying to mail ricin to Trump
"August 17, 2023",Arlington police arrest suspect they say assaulted women in their homes
