neg,neu,pos,compound,Headline,Date of Post
0.414,0.51,0.076,-0.743,"A month after escaping D.C. police, an accused killer remains at large","October 10, 2023"
0.344,0.656,0.0,-0.6369,"Teen fatally shot in Fort Washington area, police say","October 10, 2023"
0.231,0.769,0.0,-0.2732,Teen slain in Prince George’s; school postpones game,"October 10, 2023"
0.276,0.724,0.0,-0.6369,"D.C. man fatally shot in Capitol Heights area of Md., police say","October 10, 2023"
0.344,0.656,0.0,-0.6369,"Man is fatally shot in Prince George’s County, Md.","October 10, 2023"
0.333,0.667,0.0,-0.5423,"Fatal shooting reported in Prince George’s, police say","October 9, 2023"
0.545,0.455,0.0,-0.8625,"Police, family identify four teens killed in fiery Prince George’s crash","October 9, 2023"
0.0,1.0,0.0,0.0,"Sugarloaf Mountain to reopen with new hours, cameras after burglary attempt","October 9, 2023"
0.375,0.625,0.0,-0.6369,Police identify man fatally shot in Northwest Washington,"October 9, 2023"
0.611,0.389,0.0,-0.9001,"Man shot and killed in Maryland, son charged with murder","October 8, 2023"
0.197,0.803,0.0,-0.4019,"Two young men injured in shooting at Bowie State University, police say","October 8, 2023"
0.344,0.656,0.0,-0.6369,"Man fatally shot Saturday afternoon in Brightwood, police say","October 7, 2023"
0.379,0.621,0.0,-0.6705,Two men sentenced in the stray-bullet killing of 10-year-old D.C. girl,"October 6, 2023"
0.512,0.488,0.0,-0.8555,D.C. woman who was fatally shot had reported domestic abuse,"October 6, 2023"
0.184,0.612,0.204,0.0772,Police seek persons of interest in Morgan State shooting that injured 5,"October 6, 2023"
0.344,0.656,0.0,-0.6369,"Two fatally shot in Oxon Hill area, police say","October 6, 2023"
0.387,0.613,0.0,-0.743,Man found guilty in fatal stabbing and burning of Fairfax County woman,"October 6, 2023"
0.457,0.543,0.0,-0.6369,Man fatally shot in Southeast Washington,"October 6, 2023"
0.423,0.577,0.0,-0.765,Two men arrested in fatal summer shooting in Prince George’s County,"October 6, 2023"
0.0,1.0,0.0,0.0,‘There wasn’t a delay’: D.C. 911 chief defends response to District Dogs flood,"October 5, 2023"
0.368,0.632,0.0,-0.5423,Police target fugitives for violating release conditions,"October 5, 2023"
0.424,0.576,0.0,-0.7096,Victim of school bathroom sexual assault sues Va. school district,"October 5, 2023"
0.174,0.826,0.0,-0.2263,Morgan State cancels homecoming events as campus reels after shooting,"October 4, 2023"
0.205,0.795,0.0,-0.2023,Man charged in gunfight outside D.C. waterfront restaurant,"October 4, 2023"
0.517,0.483,0.0,-0.8176,"Man arrested in May killing of 2-year-old, police say","October 4, 2023"
0.263,0.737,0.0,-0.3612,U-Md. bus strikes pole; multiple minor injuries reported,"October 4, 2023"
0.531,0.469,0.0,-0.7783,"D.C. police arrest man, 46, in July killing","October 4, 2023"
0.0,1.0,0.0,0.0,"Five people, four of them students, wounded in shooting at Morgan State University","October 4, 2023"
0.362,0.638,0.0,-0.6249,"After chase and crash, passersby aid arrest in Old Town Alexandria","October 4, 2023"
0.276,0.724,0.0,-0.6369,Police identify man found fatally shot in McPherson Square in downtown D.C.,"October 3, 2023"
0.47,0.53,0.0,-0.7351,Carjacking of congressman renews cries to quell D.C. crime,"October 3, 2023"
0.0,1.0,0.0,0.0,"Texas congressman carjacked in Southeast Washington, authorities say","October 3, 2023"
0.371,0.629,0.0,-0.7579,"Man charged with murder after body is found in Va. park, police say","October 2, 2023"
0.212,0.616,0.171,-0.1531,Survivor of 2022 D.C. sniper attack sues gunmakers over military-style ads,"October 2, 2023"
0.205,0.795,0.0,-0.2023,Man charged in Sunday morning homicide in D.C.,"October 1, 2023"
0.388,0.612,0.0,-0.8225,"SUV that crashed into tree in Md., killing 4, had been stolen, police say","October 1, 2023"
0.485,0.515,0.0,-0.765,Upper Marlboro man arrested in fatal shooting of girlfriend,"September 30, 2023"
0.573,0.427,0.0,-0.8555,"Four found dead after fiery Prince George’s crash, officials say","September 29, 2023"
0.0,0.885,0.115,0.0772,Former ABC News journalist gets 6-year sentence in child pornography case,"September 29, 2023"
0.345,0.655,0.0,-0.7003,Virginia man sentenced to 27 years for 2005 rape of 12-year-old D.C. girl,"September 29, 2023"
0.278,0.533,0.189,-0.3612,D.C. youth convicted of murder in shooting at Juneteenth music festival,"September 29, 2023"
0.32,0.68,0.0,-0.6908,Doctoral student with ‘obsession’ flew to D.C. to kill her ex-boyfriend,"September 29, 2023"
0.648,0.352,0.0,-0.8481,"Suspect arrested in Baltimore CEO’s death, police say","September 29, 2023"
0.31,0.69,0.0,-0.6705,"D.C., Va. men killed in Wednesday night shooting in Northeast Washington","September 29, 2023"
0.0,1.0,0.0,0.0,Deaths of two people in separate D.C. fires ruled homicides,"September 29, 2023"
0.0,1.0,0.0,0.0,Understanding the District’s rising homicide count,"September 29, 2023"
0.0,1.0,0.0,0.0,"List of additional homicides in D.C. includes 2 infants, 88-year-old man","September 28, 2023"
0.394,0.606,0.0,-0.7579,PSA from the U.S. attorney in Maryland spotlights toll of gun violence,"September 28, 2023"
0.362,0.638,0.0,-0.6249,"After chase and crash, passersby aid arrest in Old Town Alexandria","October 4, 2023"
0.276,0.724,0.0,-0.6369,Police identify man found fatally shot in McPherson Square in downtown D.C.,"October 3, 2023"
0.47,0.53,0.0,-0.7351,Carjacking of congressman renews cries to quell D.C. crime,"October 3, 2023"
0.0,1.0,0.0,0.0,"Texas congressman carjacked in Southeast Washington, authorities say","October 3, 2023"
0.371,0.629,0.0,-0.7579,"Man charged with murder after body is found in Va. park, police say","October 2, 2023"
0.212,0.616,0.171,-0.1531,Survivor of 2022 D.C. sniper attack sues gunmakers over military-style ads,"October 2, 2023"
0.205,0.795,0.0,-0.2023,Man charged in Sunday morning homicide in D.C.,"October 1, 2023"
0.388,0.612,0.0,-0.8225,"SUV that crashed into tree in Md., killing 4, had been stolen, police say","October 1, 2023"
0.485,0.515,0.0,-0.765,Upper Marlboro man arrested in fatal shooting of girlfriend,"September 30, 2023"
0.573,0.427,0.0,-0.8555,"Four found dead after fiery Prince George’s crash, officials say","September 29, 2023"
0.0,0.885,0.115,0.0772,Former ABC News journalist gets 6-year sentence in child pornography case,"September 29, 2023"
0.345,0.655,0.0,-0.7003,Virginia man sentenced to 27 years for 2005 rape of 12-year-old D.C. girl,"September 29, 2023"
0.278,0.533,0.189,-0.3612,D.C. youth convicted of murder in shooting at Juneteenth music festival,"September 29, 2023"
0.32,0.68,0.0,-0.6908,Doctoral student with ‘obsession’ flew to D.C. to kill her ex-boyfriend,"September 29, 2023"
0.648,0.352,0.0,-0.8481,"Suspect arrested in Baltimore CEO’s death, police say","September 29, 2023"
0.31,0.69,0.0,-0.6705,"D.C., Va. men killed in Wednesday night shooting in Northeast Washington","September 29, 2023"
0.0,1.0,0.0,0.0,Deaths of two people in separate D.C. fires ruled homicides,"September 29, 2023"
